,novel_name,author,collects,reviews,month
1766,11处特工皇妃,潇湘冬儿,98000,5500000000,609476.0
2427,修罗武神,善良的蜜蜂,2201082,3988965700,103494809.0
1765,傲风,风行烈,73000,2200000000,458044.0
15967,傲视群雄之冰冷王爷,日辰睡莲,196,1841499153,4095.0
1764,豪门重生之妇贵逼人,恩很宅,34000,1600000000,234532.0
1763,顾先深的闪婚贵妻,菜卷泪,18000,1300000000,82887.0
1762,毒后归来之家有暴君,顾轻狂,22000,1200000000,46953.0
1761,豪门重生之暖爱成婚,大雪人,16000,1200000000,70604.0
1760,钻石闪婚之溺宠小娇妻,花间妖,33000,1200000000,84850.0
1759,重生之深宫嫡女,元长安,20000,1200000000,63671.0
2426,万古仙穹,观棋,577496,1132361196,4437562.0
1758,凤临之妖王滚下榻,战西野,49000,1100000000,115762.0
1757,重生之国民男神,水千澈,55000,1100000000,139168.0
2425,斩龙,失落叶,3628704,1063149101,5456037.0
1755,火爆医妃之病王太腹黑,香雪宠儿,996,1000000000,30485.0
1754,绣色可餐,青青的悠然,35000,1000000000,122996.0
1756,渣王作妃,浅浅的心,40000,1000000000,485961.0
2424,人皇纪,皇甫奇,272013,927599865,9185087.0
713,朕的皇后能见鬼,昭宥,7384,838003581,106620.0
2246,杀手房东俏房客,老施,997679,706544907,3714911.0
